index_num,idiom,idiom_stripped,s1,s2,s3,label,position,corrected_labels,total_i,total_l,total_na,incorrect_i,incorrect_l,incorrect_na,incorrect_total,total_duplicates
668,तातो लाग्नु,तातो ल,"310S स्टेनलेस स्टील यसको कम कार्बन सामग्रीको कारण गन्ध गर्न अपेक्षाकृत गाह्रो छ, त्यसैले मूल्य अपेक्षाकृत उच्च छ।","हामीलाई ईमेल पठाउनुहोस् PDF को रूपमा डाउनलोड गर्नुहोस्
उत्पाद विवरण
उत्पाद ट्यागहरू
चीन स्टेनलेस स्टील क्षमता बारेमा 310s तातो रोल्ड स्टेनलेस स्टील प्लेट, 310s HRP, PMP
मोटाई: १.२ मिमी - १० मिमी
चौड़ाई: Mm०० मिमि - 00 33०० मिमी, संकुचित उत्पादनहरू कृपया स्ट्रिप उत्पादनहरूमा जाँच गर्दछन्
लम्बाइ: 500mm-12000mm
प्यालेट वजन: 1.0MT - 10MT
समाप्त: NO.1, 1D, 2D, # 1, तातो लुगा समाप्त, कालो, anneal र अचार, मिल समाप्त
310 / 310s समान मानक बिभिन्न मानकबाट
१.48484१ S31000 SUS310S १.48454545 S31008 S31008S 06Cr25Ni20 0Cr25Ni20 उच्च तापमान स्टेनलेस स्टील
S31008 रासायनिक घटक ASTM A240:
C: ≤ ०.०8, सि: ≤१.।","Mn: ≤ ०.०, सीआर: 100.००～१.00.००, नी: १०.०～१.00.००, S: ≤0.03, पी: ।",NA,"हामीलाई ईमेल पठाउनुहोस् PDF को रूपमा डाउनलोड गर्नुहोस्
उत्पाद विवरण
उत्पाद ट्यागहरू
चीन स्टेनलेस स्टील क्षमता बारेमा 310s तातो रोल्ड स्टेनलेस स्टील प्लेट, 310s HRP, PMP
मोटाई: १.२ मिमी - १० मिमी
चौड़ाई: Mm०० मिमि - 00 33०० मिमी, संकुचित उत्पादनहरू कृपया स्ट्रिप उत्पादनहरूमा जाँच गर्दछन्
लम्बाइ: 500mm-12000mm
प्यालेट वजन: 1.0MT - 10MT
समाप्त: NO.1, 1D, 2D, # 1, तातो लुगा समाप्त, कालो, anneal र अचार, मिल समाप्त
310 / 310s समान मानक बिभिन्न मानकबाट
१.48484१ S31000 SUS310S १.48454545 S31008 S31008S 06Cr25Ni20 0Cr25Ni20 उच्च तापमान स्टेनलेस स्टील
S31008 रासायनिक घटक ASTM A240:
C: ≤ ०.०8, सि: ≤१.।",,,,,,,,,
669,तातो लाग्नु,तातो ल,चिसो बढेका कारणले बजार तथा सार्वजनिक स्थलहरुमा मान्छेको उपस्थिति पातलिन थालेको छ ।,"एक्कासी चिसो बढेका कारणले चिसोबाट जोगिनका लागि न्यानो, बाक्लो एवं तातो लुगाको विक्रिमा बृद्धि भएको छ ।",खास गरेर ग्रामिण क्षेत्रमा अगेना बालेर आगो ताप्ने क्रम पनि बढेको छ ।,NA,"एक्कासी चिसो बढेका कारणले चिसोबाट जोगिनका लागि न्यानो, बाक्लो एवं ###तातो### लुगाको विक्रिमा बृद्धि भएको छ ।",NA,,,,,,,,
670,तातो लाग्नु,तातो ल,यो विभिन्न वाच केसहरू र वाच केसहरूको उत्पादनको लागि उच्च गुणवत्ताको सामग्री हो।,"हामीलाई ईमेल पठाउनुहोस् PDF को रूपमा डाउनलोड गर्नुहोस्
उत्पाद विवरण
उत्पाद ट्यागहरू
चीन स्टेनलेस स्टील क्षमता बारेमा 201 तातो रोल्ड स्टेनलेस स्टील काइल , २०११ एचआरसी
मोटाई: १.२ मिमी - १० मिमी
चौड़ाई: Mm०० मिमि - २००० मिमी, संकुचित उत्पादनहरू कृपया स्ट्रिप उत्पादनहरूमा जाँच गर्दछन्
अधिकतम कुण्डली तौल: 40MT
कुंडल आईडी: 508mm, 610mm
समाप्त: NO.1, 1D, 2D, # 1, तातो लुगा समाप्त, कालो, anneal र अचार, मिल समाप्त
२०१० विभिन्न मिल मानकबाट समान श्रेणी
२०१J1, २०१२ L1, २०१० LH, २०१२ LA
२०१० रासायनिक घटक लिस्को – L1:
C: ≤0।१,, Si: ≤१.० Mn: 8.0-10.5, Cr: 1..～१.00.००, नी: १.०～,.०, S: ≤0.03, पी: ।","०.०C घन: <२.०, N≤0.2
२०१० मैकेनिकल सम्पत्ति LISCO – L1:
तन्यता शक्ति:> 5१ M Mpa
उत्पादन क्षमता:> २०5 एमपीए
विस्तार (%):>% 35%
कठोरता: <HRB99
२०१२ र 4०4 को बारेमा साधारण तुलना
धेरै उपभोक्ताहरूको आँखामा 30०4 स्टेनलेस स्टील र २०१० स्टेनलेस स्टील लगभग भिन्न हुँदैन र ना and्गो आँखाले यसलाई छुट्याउन मिल्दैन।",NA,"हामीलाई ईमेल पठाउनुहोस् PDF को रूपमा डाउनलोड गर्नुहोस्
उत्पाद विवरण
उत्पाद ट्यागहरू
चीन स्टेनलेस स्टील क्षमता बारेमा 201 तातो रोल्ड स्टेनलेस स्टील काइल , २०११ एचआरसी
मोटाई: १.२ मिमी - १० मिमी
चौड़ाई: Mm०० मिमि - २००० मिमी, संकुचित उत्पादनहरू कृपया स्ट्रिप उत्पादनहरूमा जाँच गर्दछन्
अधिकतम कुण्डली तौल: 40MT
कुंडल आईडी: 508mm, 610mm
समाप्त: NO.1, 1D, 2D, # 1, तातो लुगा समाप्त, कालो, anneal र अचार, मिल समाप्त
२०१० विभिन्न मिल मानकबाट समान श्रेणी
२०१J1, २०१२ L1, २०१० LH, २०१२ LA
२०१० रासायनिक घटक लिस्को – L1:
C: ≤0।१,, Si: ≤१.० Mn: 8.0-10.5, Cr: 1..～१.00.००, नी: १.०～,.०, S: ≤0.03, पी: ।",,,,,,,,,
671,तातो लाग्नु,तातो ल,"हजुरआमा र प्यारी किशोर तपाईंलाई खुशी दिन ""वास्तविक"" तयार छन्।","06:00
जापानी आमाको XXX 3 तातो किशोर किशोरीहरू - पर्दाको पछाडि पर्दाको पछाडि यस अद्भुत डेबिट फिशनेट चूसो र गुदाको कार्यको साथ भाँडामा छिन् र एक उनको मुखमा एक कवि बन्छन्
01:35
गधा, सार्वजनिक, एमेच्योर, ब्लाउज, जापानी, क्याम, भोयर, यूरोपीयन, यूरो, कमि fucking्ग
13:05
परिपक्व जोडी महिलाहरू नग्न कपाल कपाल युरोपीयन किशोर विश्व हस्तमैथुन लामो बिल्ली गधा लामो कपाल गधा मालिश पछि
05:59
तातो ल्याटिना पिलिनको साथ कारमा गुल्य हुन्छ, जब उनले एक विशाल मुर्ख पर्खाइमा गजेललाई पर्खीरहेकी छिन् र उनको अनुहारमा तरल र प्रत्यक्ष क्यामेराको साथ गजेल,
08:00
म मेरो खुट्टाको एशियाई बिरालो यति परिपक्व एशियाली तपाईले आफ्नो जीभलाई बीचमा राखेर कल्पना गर्न सक्दछु मलाई आशा छ यो मेरो लंडलाई राम्रो बनाउँदछ र मेरो खुट्टामा मान्छेहरू हेर्न कठिन छ जब म यो प्रेम गर्छु
06:34
अश्लील पूर्ण स्पेनिश केटी टिभी चिनियाँ चल्ती सुनौलो उनको बिल्ली संग खेल्छिन् जब सम्म उनी जता हुँदैन
07:57
सार्वजनिक शौचालय मा भिडियो ठूला बूब्स उनी आशा गर्दैन कि हरेक एशियाई कुत्ते शैली पछि उनको प्रेमी को लागी एक आश्चर्यजनक तयार छ, उनको कुकुर सवारी पछि उसलाई अर्को कुकुर मोड दिन।","05:38
नग्न मिजेट तस्वीरहरू सेक्सी परिपक्व महिला हार्डकोर सेक्स सत्र र सबै उनको सह उनको सुन्दर ठूलो स्तन हार्ड हार्ड लंड मा रमाउँदछन्।",NA,"06:00
जापानी आमाको XXX 3 ###तातो### किशोर किशोरीहरू - पर्दाको पछाडि पर्दाको पछाडि यस अद्भुत डेबिट फिशनेट चूसो र गुदाको कार्यको साथ भाँडामा छिन् र एक उनको मुखमा एक कवि बन्छन्
01:35
गधा, सार्वजनिक, एमेच्योर, ब्लाउज, जापानी, क्याम, भोयर, यूरोपीयन, यूरो, कमि fucking्ग
13:05
परिपक्व जोडी महिलाहरू नग्न कपाल कपाल युरोपीयन किशोर विश्व हस्तमैथुन लामो बिल्ली गधा लामो कपाल गधा मालिश पछि
05:59
###तातो### ल्याटिना पिलिनको साथ कारमा गुल्य हुन्छ, जब उनले एक विशाल मुर्ख पर्खाइमा गजेललाई पर्खीरहेकी छिन् र उनको अनुहारमा तरल र प्रत्यक्ष क्यामेराको साथ गजेल,
08:00
म मेरो खुट्टाको एशियाई बिरालो यति परिपक्व एशियाली तपाईले आफ्नो जीभलाई बीचमा राखेर कल्पना गर्न सक्दछु मलाई आशा छ यो मेरो लंडलाई राम्रो बनाउँदछ र मेरो खुट्टामा मान्छेहरू हेर्न कठिन छ जब म यो प्रेम गर्छु
06:34
अश्लील पूर्ण स्पेनिश केटी टिभी चिनियाँ चल्ती सुनौलो उनको बिल्ली संग खेल्छिन् जब सम्म उनी जता हुँदैन
07:57
सार्वजनिक शौचालय मा भिडियो ठूला बूब्स उनी आशा गर्दैन कि हरेक एशियाई कुत्ते शैली पछि उनको प्रेमी को लागी एक आश्चर्यजनक तयार छ, उनको कुकुर सवारी पछि उसलाई अर्को कुकुर मोड दिन।",,,,,,,,,
672,तातो लाग्नु,तातो ल,’ ती भलाद्मी ‘सरी’ भन्दै उसले भनेको रुम नं ३०१ तिर लागे।,यही कारण घामको तातो लागेपछि मात्रै छापा मा’र्ने ड्युटीमा पुग्ने प्रहरीको र झिसमिसेमै धन्दा सकेर बाटो तताउनेहरूको जम्काभेटै हुँदैन।,ट्याक्सीका चालकहरू सडकमा बालिएको आगो ताप्दै गफिँदै थिए।,L,यही कारण घामको ###तातो लागेपछि### मात्रै छापा मा’र्ने ड्युटीमा पुग्ने प्रहरीको र झिसमिसेमै धन्दा सकेर बाटो तताउनेहरूको जम्काभेटै हुँदैन।,,,,,,,,,
673,तामाको मुनाजस्तो हुनु,तामाको म,उनका अनुसार हाल यस्ता क’च्चा पदार्थको मूल्य करीब दुई गुनासम्मले बढ्दा ती सामग्रीको मूल्य पनि सोही दरमा बढेको छ ।,बन्दाबन्दीको समयभन्दा अघि प्रतिटन ४ हजार ८ सय अमेरीकी डलर पर्ने तामाको मू’ल्य यति बेला बढेर ९ हजार डलरसम्म पुगेको छ ।,त्यसैगरी प्रतिकिलो १ सय ८ रुपैयाँ पर्ने पिभिसिको मू’ल्य १ सय ६० रुपैयाँ पुगेको छ ।,NA,बन्दाबन्दीको समयभन्दा अघि प्रतिटन ४ हजार ८ सय अमेरीकी डलर पर्ने तामाको मू’ल्य यति बेला बढेर ९ हजार डलरसम्म पुगेको छ ।,,,,,,,,,
674,तामाको मुनाजस्तो हुनु,तामाको म,आधुनिक मानव समुदायले पनि आज भन्दा ८/९ हजार वर्ष पहिले त्यसै क्षेत्रमा बसोबास गरेको कुरा दाङदेउखुरी उपत्यकाबाट प्राप्त मध्यपाषाण औजारहरूले पुष्टि गरेका छन्।,कपिलवस्तु क्षेत्रमा भएका पुरातात्विक उत्खनन्‌‌बाट प्राप्त विभिन्न सामग्रीहरू र कैलालीबाट प्राप्त तामाको मानवाकृतिबाट यस क्षेत्रमा इर्शापूर्व प्रथम सहस्राब्दीको प्रारम्भिक चरणतिरै मानव बसोबासहरू रहेका थिए भन्ने पुष्टि हुन्छ।,"’
इतिहासले बस्तीको जरो पहिल्याए पनि हाँगाबिंगा चाहिँ चलायमान भइरहेका छन्।",NA,कपिलवस्तु क्षेत्रमा भएका पुरातात्विक उत्खनन्‌‌बाट प्राप्त विभिन्न सामग्रीहरू र कैलालीबाट प्राप्त तामाको मानवाकृतिबाट यस क्षेत्रमा इर्शापूर्व प्रथम सहस्राब्दीको प्रारम्भिक चरणतिरै मानव बसोबासहरू रहेका थिए भन्ने पुष्टि हुन्छ।,,,,,,,,,
675,तामाको मुनाजस्तो हुनु,तामाको म,तेल बोप सामग्री जुन सामग्रीको झरझरा गुणहरूको उपयोग गर्न सक्दछ।,"लुब्रिकेटि oil तेल पूर्ण भरिएका हुन्: काठ, बढ्दो कास्ट फलाम, कास्ट तामाको मिश्रण र पाउडर धातुविरोधी एन्टिफ्रिक्सन सामग्री; सामग्री र स्नेहक तेलको बीचमा स्नेह तेललाई समान रूपमा सामग्रीमा तितरबित पार्न प्रयोग गर्न सकिन्छ।","प्रायः तेल बोल्ने असर हुने सामग्रीहरू पोलीमरहरू हुन्छन्, जस्तै तेल-बोक्ने फिनोलिक रेजिन।",NA,"लुब्रिकेटि oil तेल पूर्ण भरिएका हुन्: काठ, बढ्दो कास्ट फलाम, कास्ट तामाको मिश्रण र पाउडर धातुविरोधी एन्टिफ्रिक्सन सामग्री; सामग्री र स्नेहक तेलको बीचमा स्नेह तेललाई समान रूपमा सामग्रीमा तितरबित पार्न प्रयोग गर्न सकिन्छ।",,,,,,,,,
676,तामाको मुनाजस्तो हुनु,तामाको म,यहि पुस १ गतेदेखि गरी केबुल तार उत्पादकहरुको संघ नेपाल विद्युतीय उत्पादक संघ (नीमा) ले मुल्य बृद्धि लागु गरेको हो ।,अन्तराष्ट्रिय बजारमा तारका लागि आवश्यक मेटल तामाको मुल्यमा बृद्धि भएको कारण तारको मुल्यमा बृद्धि गर्नु परेको नेपाल विद्युतीय उत्पादक सँघ (नीमा) का अध्यक्ष आशिष सिग्देलले बताए ।,अध्यक्ष सिग्देल नेपाल केबुल का डाइरेक्टर पनि हुन् ।,NA,अन्तराष्ट्रिय बजारमा तारका लागि आवश्यक मेटल तामाको मुल्यमा बृद्धि भएको कारण तारको मुल्यमा बृद्धि गर्नु परेको नेपाल विद्युतीय उत्पादक सँघ (नीमा) का अध्यक्ष आशिष सिग्देलले बताए ।,,,,,,,,,
677,तामाको मुनाजस्तो हुनु,तामाको म,"Rigid PCB को उत्पादन दायरा जुन Fumax ले प्रस्ताव गर्न सक्छ：
* पीसीबीहरू 48 48 तहसम्म
* Alu कोर, प्लेटहरू मार्फत
* अल्ट्रा-फिनलाइन
* लेजर प्रत्यक्ष इमेजि ((LDI)
* माइक्रोभियस µµvim बाट
* ब्लाइन्ड- र बुरीड-भायास
* लेजर-मार्फत
* प्लगिंग / स्ट्याकिंग मार्फत
योग्यता：
* तह （२-40० तह）
* पीसीबी आकार （न्यूनतम।","१० * १mm मिमी, अधिकतम 50०8 * 9 88 mm मिमी ；）
* समाप्त बोर्ड मोटाई （०.२१-.0.० मिमी）
* न्यूनतम आधार तांबेको मोटाई （१/3 ओजेड (१२ मिम) ； ；
* अधिकतम समाप्त तामाको मोटाई O O OZ ； ；
* न्यूनतम ट्रेस चौड़ाई / स्पेसिing ner भित्री तह: भाग २ / २ मिल, समग्र / / m मिल; बाहिरी तह: भाग २. / / २.m मिली, कुल / / m मिलिल） ；
* आयाम आकार To ± ०.mm मिमी） को सहिष्णुता;
* भूतल उपचार （HASL / ENIG / OSP / नेतृत्व नि: शुल्क HASL / स्वर्ण PLATING / इमर्सियन एजी / IMNSN स्न）
* प्रतिबाधा नियन्त्रण सहिष्णुता （% १०%, Ω०Ω र तल: ± Ω Ω） ；
* सोल्डर मास्क रंग （हरियो, निलो, रातो, सेतो, कालो）।","अनुप्रयोगहरू：
कठोर मुद्रित सर्किट बोर्डहरू सर्किट घनत्व वृद्धि प्रदान गर्दछ र आकार र बोर्ड को समग्र वजन कम गर्न सक्दछ।",NA,"१० * १mm मिमी, अधिकतम 50०8 * 9 88 mm मिमी ；）
* समाप्त बोर्ड मोटाई （०.२१-.0.० मिमी）
* न्यूनतम आधार तांबेको मोटाई （१/3 ओजेड (१२ मिम) ； ；
* अधिकतम समाप्त तामाको मोटाई O O OZ ； ；
* न्यूनतम ट्रेस चौड़ाई / स्पेसिing ner भित्री तह: भाग २ / २ मिल, समग्र / / m मिल; बाहिरी तह: भाग २. / / २.m मिली, कुल / / m मिलिल） ；
* आयाम आकार To ± ०.mm मिमी） को सहिष्णुता;
* भूतल उपचार （HASL / ENIG / OSP / नेतृत्व नि: शुल्क HASL / स्वर्ण PLATING / इमर्सियन एजी / IMNSN स्न）
* प्रतिबाधा नियन्त्रण सहिष्णुता （% १०%, Ω०Ω र तल: ± Ω Ω） ；
* सोल्डर मास्क रंग （हरियो, निलो, रातो, सेतो, कालो）।",,,,,,,,,
678,तिलाञ्जलि दिनु,तिलाञ्जलि द,भ्रष्टाचार नियन्त्रण गर्न शक्तिशाली लोकपाल आयोग गठन गरिनु अति आवश्यक भइसकेको छ ।,"साथै, राज्यको ढुकुटीबाट झिकेर नेता धनी हुने परिपाटीको ठाउँमा आफ्ना सम्पूर्ण आर्थिक आकाङ्क्षा तिलाञ्जलि दिन सक्ने नेता जनस्तरबाट स्थापित गराउँदा मात्र देशको समृद्धि सुनिश्चित हुन्छ ।",--NNI--,I,"साथै, राज्यको ढुकुटीबाट झिकेर नेता धनी हुने परिपाटीको ठाउँमा आफ्ना सम्पूर्ण आर्थिक आकाङ्क्षा ###तिलाञ्जलि दिन### सक्ने नेता जनस्तरबाट स्थापित गराउँदा मात्र देशको समृद्धि सुनिश्चित हुन्छ ।",,,,,,,,,
679,तिलाञ्जलि दिनु,तिलाञ्जलि द,त्यस्तै अर्को ट्विटमा उहाँले नेपालसँगको सम्बन्धलाई भारतले उच्च महत्व दिएको प्रष्ट्याउँदै द्विपक्षीय सम्बन्धलाई थप प्रगाढ तुल्याउन आफ्ना समकक्षी ओलीसँग सघन वार्ता गर्ने बताउनुभएको छ ।,निश्चय पनि उहाँको यो अभिव्यक्तिले विगतका रिक्तता र तिक्ततालाई तिलाञ्जलि दिएको संकेत मात्र गर्दैन भविष्यमा नेपाल–भारत मैत्री नयाँ नेपालको नयाँ संविधान जारी हुनुपूर्वको अवस्थामा पु¥याउने अपेक्षा गर्न सकिन्छ ।,"पर्यटन प्रवद्र्धन
जनकपुरधाम र मुक्तिनाथजस्ता विश्वविख्यात धार्मिक एवं सांस्कृतिक महत्वका सम्पदास्थलमा हुने उहाँको भ्रमणले प्रकृतिप्रेमी पर्यटक र तीर्थाटनलाई भारतवर्षमा समुचित प्रवद्र्धन मात्र गर्नेछैन अपितु दुई देशबीचको धार्मिक एवं सांस्कृतिक सम्बन्धलाई एक अटुट कडीका रुपमा चित्रण गर्छ ।",I,निश्चय पनि उहाँको यो अभिव्यक्तिले विगतका रिक्तता र तिक्ततालाई ###तिलाञ्जलि दिएको### संकेत मात्र गर्दैन भविष्यमा नेपाल–भारत मैत्री नयाँ नेपालको नयाँ संविधान जारी हुनुपूर्वको अवस्थामा पु¥याउने अपेक्षा गर्न सकिन्छ ।,I,,,,,,,,
680,तिलाञ्जलि दिनु,तिलाञ्जलि द,बुबा आमाको चाहना सरकारी जागिरे होस् भन्ने थियो तर यता लागेपछि यति रमाइलो भयो कि समय गएको पत्तै भएन।,"यतैको मोहले तान्यो, व्यक्तिगत जीवनलाई तिलाञ्जलि दिइयो।",अहिलेसम्म अविवाहित हुनु भनेको जीवनको व्यवस्थापन नभएको हो।,I,"यतैको मोहले तान्यो, व्यक्तिगत जीवनलाई ###तिलाञ्जलि दिइयो###।",I,,,,,,,,
681,तिलाञ्जलि दिनु,तिलाञ्जलि द,श्रीलङ्काको निम्ति पत्यारिलो मित्रराष्ट्रको उपाधि पाएको चीनले आखिर त्यहाँ गुणस्तरहीन र हानिकारक ब्याक्टेरियायुक्त कृषि मलको आपूर्ति किन ग¥यो भन्ने विषय चारैतिर चर्चाको विषय बनेको छ ।,यस घटनाले एकातिर चीनद्वारा उत्पादित मालसामानप्रतिको विश्वसनीयतामाथि प्रश्नचिह्न उठाउने काम भएको छ भने अर्कोतिर आफ्नो आर्थिक एवं व्यापारिक लाभको निम्ति चीनले मित्रतालाई पनि तिलाञ्जलि दिन सक्ने कुराको पुष्टि गरेको छ ।,श्रीलङ्काली राष्ट्रपति गोटाबायो राजापाक्षेले गत मे महीनामा आदेश जारी गरी कृषि कार्यमा आर्गानिक मलको प्रयोगलाई अनिवार्य गरेका कारण श्रीलङ्का सरकारले चीनको चिंगदाओ सिविन बायोटेक कम्पनी लिमिटेडबाट ९६ हजार टन आर्गानिक मल ल्याउने सम्झौता गरेको थियो ।,I,यस घटनाले एकातिर चीनद्वारा उत्पादित मालसामानप्रतिको विश्वसनीयतामाथि प्रश्नचिह्न उठाउने काम भएको छ भने अर्कोतिर आफ्नो आर्थिक एवं व्यापारिक लाभको निम्ति चीनले मित्रतालाई पनि ###तिलाञ्जलि दिन### सक्ने कुराको पुष्टि गरेको छ ।,I,,,,,,,,
682,तिलाञ्जलि दिनु,तिलाञ्जलि द,यसको मर्मलाई कुल्चने काम नगरौँ ।,"व्यक्तिगत लोभ,आकाङ्क्षा जे भए पनि त्यसलाई तिलाञ्जलि दिएर नेपालीको मूल महान् ग्रन्थका रुपमा रहेको संविधानलाई कसरी सफल पार्ने भन्ने सोच्नुपर्छ ।","प्रदेशवासीले सरकार सञ्चालनमा जसरी सहयोग समर्थन गर्दै आउनुभएको छ, त्यसका लागि सबैलाई आभार व्यक्त गर्दै आगामी दिनमा पनि यस्तै साथ र सहयोगको अपेक्षा गर्दछु ।",I,"व्यक्तिगत लोभ,आकाङ्क्षा जे भए पनि त्यसलाई तिलाञ्जलि दिएर### नेपालीको मूल महान् ग्रन्थका रुपमा रहेको संविधानलाई कसरी सफल पार्ने भन्ने सोच्नुपर्छ ।",I,,,,,,,,
